User ID,First Name,Last Name,Email,Date of Birth,Country
1,John,Doe,john.doe@example.com,1990-05-14,USA
2,Jane,Smith,jane.smith@example.com,1988-11-22,Canada
3,Sam,Brown,sam.brown@example.com,1995-07-30,UK
4,Alice,Johnson,alice.johnson@example.com,1992-03-15,Australia
5,Bob,Lee,bob.lee@example.com,1985-10-02,USA
6,Maria,Gonzalez,maria.gonzalez@example.com,1991-12-12,Mexico
7,Lucas,Wong,lucas.wong@example.com,1993-06-09,Singapore
8,Sophia,Nguyen,sophia.nguyen@example.com,1989-04-05,Vietnam
9,James,Chen,james.chen@example.com,1994-08-25,China
10,Linda,Tan,linda.tan@example.com,1996-09-14,Malaysia
